$COIN_LABEL_SETTINGS	Settings
$COIN_LABEL_VALUES	Coins
$COIN_LABEL_AUTOEXCHANGE	Automatically Exchange Coins
$COIN_LABEL_VERBOSE	Show Septim Added Notifications
$COIN_INFO_AUTOEXCHANGE	If enabled, coins will automatically be exchanged for septims. This is recommended.
$COIN_INFO_VERBOSE	If enabled, shows notifications when coins are exchanged for septims. This is not recommended.
$COIN_FORMAT_VALUE	{2} SEPTIMS

$COIN_ACTIVE	Supported Coins
$COIN_DEPRECATED	Legacy Coins
$COIN_ACTIVE_SUPPORT	Coins distributed by this mod
$COIN_LEGACY_SUPPORT	Coins available for other mods to distribute

$MALLARI_INFO_TEXT	An ancient Falmer coin.
$DRAKR_INFO_TEXT	An ancient Nord coin.
$MALA_INFO_TEXT	An ancient Ayleid coin.
$NCHUARK_INFO_TEXT	An ancient Dwarven coin.
$GIBBERMANIA_INFO_TEXT	The currency of Mania.
$GIBBERDEMENTIA_INFO_TEXT	The currency of Dementia.
$MEDE_INFO_TEXT	The currency proposed to replace the gold septim.

$Currency	Currency
$DefunctCurrency	Ancient Currency
